name,ticker,market,sector
First Custodian Fund India Ltd.,1STCUS,BSE,Finance
20 Microns Limited,20MICRONS,NSE,Process industries
Twentyfirst Century Management Services Limited,21STCENMGM,NSE,Finance
360 One Wam Limited,360ONE,NSE,Finance
3B BlackBio Dx Ltd,3BBLACKBIO,BSE,Process industries
3B Films Limited,3BFILMS,BSE,Process industries
3C IT Solutions & Telecoms (India) Limited,3CIT,BSE,Technology services
3i Infotech Limited,3IINFOLTD,NSE,Technology services
3M India Limited,3MINDIA,NSE,Producer manufacturing
3P Land Holdings Limited,3PLAND,NSE,Finance
Fourth Generation Information Systems Ltd.,4THGEN,BSE,Technology services
5paisa Capital Ltd.,5PAISA,NSE,Finance
63 Moons Technologies Ltd.,63MOONS,NSE,Technology services
7NR Retail Ltd.,7NR,BSE,Distribution services
7Seas Entertainment Limited,7SEASL,BSE,Technology services
Saven Technologies Limited,7TEC,BSE,Technology services
A-1 Limited,A1L,BSE,Process industries
A2Z Infra Engineering Limited,A2ZINFRA,NSE,Industrial services
AAA Technologies Ltd.,AAATECH,NSE,Technology services
Aadhar Housing Finance Ltd,AADHARHFC,NSE,Finance
Aadi Industries Limited,AADIIND,BSE,Process industries
Akar Auto Industries Ltd,AAIL,BSE,Consumer durables
Aakaar Medical Technologies Limited,AAKAAR,NSE,Distribution services
Aakash Exploration Services Ltd.,AAKASH,NSE,Energy minerals
Aananda Lakshmi Spinning Mills Ltd,AANANDALAK,BSE,Process industries
AA Plus Tradelink Limited,AAPLUSTRAD,BSE,Distribution services
Aaradhya Disposal Industries Limited,AARADHYA,NSE,Process industries
Aarey Drugs & Pharmaceuticals Ltd.,AAREYDRUGS,NSE,Health technology
Aarnav Fashions Ltd.,AARNAV,BSE,Finance
Aaron Industries Ltd.,AARON,NSE,Producer manufacturing
Aartech Solonics Ltd.,AARTECH,NSE,Commercial services
Aarti Drugs Limited,AARTIDRUGS,NSE,Health technology
AARTI Industries Ltd,AARTIIND,NSE,Process industries
Aarti Pharmalabs Limited,AARTIPHARM,NSE,Health technology
Aarti Surfactants Ltd.,AARTISURF,NSE,Process industries
Varvee Global Limited,AARVEEDEN,NSE,Process industries
Aarvi Encon Ltd.,AARVI,NSE,Commercial services
Aashka Hospitals Limited,AASHKA,BSE,Health services
Aastamangalam Finance Limited,AASTAFIN,BSE,Finance
Aatmaj Healthcare Limited,AATMAJ,NSE,Health services
Aavas Financiers Ltd.,AAVAS,NSE,Finance
Aayush Wellness Ltd,AAYUSH,BSE,Retail trade
Aayush Art & Bullion Ltd,AAYUSHBULL,BSE,Consumer non-durables
Aban Offshore Limited,ABAN,NSE,Industrial services
ABans Enterprises Ltd.,ABANSENT,BSE,Distribution services
ABATE AS Industries Limited,ABATEAS,BSE,Finance
ABB India Limited,ABB,NSE,Producer manufacturing
Abbott India Limited,ABBOTINDIA,NSE,Health technology
Aditya Birla Capital Ltd.,ABCAPITAL,NSE,Finance
ABC India Limited,ABCINDQ,BSE,Transportation
AB Cotspin India Ltd.,ABCOTS,NSE,Consumer non-durables
Allied Blenders and Distillers Limited,ABDL,NSE,Consumer non-durables
Aditya Birla Fashion and Retail Ltd,ABFRL,NSE,Retail trade
Abha Power & Steel Ltd.,ABHAPOWER,NSE,Non-energy minerals
Abhinav Capital Services Limited,ABHICAP,BSE,Finance
Abhishek Finlease Ltd,ABHIFIN,BSE,Finance
Abhishek Infraventures Ltd.,ABHIINFRA,BSE,Industrial services
A B Infrabuild Ltd,ABINFRA,NSE,Industrial services
Abirami Financial Services (India) Limited,ABIRAFN,BSE,Finance
Aditya Birla Lifestyle Brands Limited,ABLBL,NSE,Retail trade
ABM International Ltd.,ABMINTLLTD,NSE,Industrial services
ABM Knowledgeware Limited,ABMKNO,BSE,Technology services
Aditya Birla Real Estate Ltd,ABREL,NSE,Process industries
Abram Food Limited,ABRFL,BSE,Consumer non-durables
Abril Paper Tech Limited,ABRIL,BSE,Process industries
Aditya Birla Sun Life Amc Limited,ABSLAMC,NSE,Technology services
ABS Marine Services Ltd.,ABSMARINE,NSE,Transportation
Arunjyoti Bio Ventures Ltd.,ABVL,BSE,Finance
ACC Limited,ACC,NSE,Non-energy minerals
Accedere Ltd,ACCEDERE,BSE,Distribution services
Accel Limited,ACCEL,BSE,Technology services
AccelerateBS India Limited,ACCELERATE,BSE,Commercial services
Accelya Solutions India Ltd.,ACCELYA,NSE,Technology services
Accent Microcell Limited,ACCENTMIC,NSE,Health technology
Accord Synergy Ltd.,ACCORD,NSE,Industrial services
Accretion Pharmaceuticals Ltd.,ACCPL,NSE,Health technology
Accuracy Shipping Ltd.,ACCURACY,NSE,Transportation
Action Construction Equipment Limited,ACE,NSE,Producer manufacturing
Ace Alpha Tech Limited,ACEALPHA,BSE,Technology services
ACE Edutrend Limited,ACEEDU,BSE,Consumer services
Ace Engitech Limited,ACEENGITEC,BSE,Technology services
Ace Integrated Solutions Ltd.,ACEINTEG,NSE,Technology services
Ace Men Engg Works Ltd.,ACEMEN,BSE,Distribution services
Ace Software Exports Limited,ACESOFT,BSE,Technology services
Automobile Corporation of Goa Limited,ACGL,BSE,Producer manufacturing
Achyut Healthcare Ltd.,ACHYUT,BSE,Distribution services
Archean Chemical Industries Ltd.,ACI,NSE,Process industries
ACI Infocom Ltd,ACIIN,BSE,Finance
Acknit Industries Limited,ACKNIT,BSE,Consumer non-durables
Andhra Cements Limited,ACL,NSE,Non-energy minerals
Aelea Commodities Limited,ACLD,BSE,Process industries
Allcargo Gati Limited,ACLGATI,NSE,Transportation
Acme Resources Ltd.,ACME,BSE,Finance
ACME Solar Holdings Ltd.,ACMESOLAR,NSE,Industrial services
Aditya Consumer Marketing Ltd.,ACML,BSE,Retail trade
Acrow India Limited,ACROW,BSE,Producer manufacturing
ACS Technologies Ltd,ACSTECH,BSE,Process industries
Active Clothing Co. Ltd.,ACTIVE,BSE,Consumer non-durables
Active Infrastructures Limited,ACTIVEINFR,NSE,Industrial services
Acutaas Chemicals Ltd,ACUTAAS,NSE,Health technology
Adani Energy Solutions Ltd,ADANIENSOL,NSE,Utilities
Adani Enterprises Limited,ADANIENT,NSE,Distribution services
Adani Green Energy Limited,ADANIGREEN,NSE,Utilities
Adani Ports & Special Economic Zone Ltd,ADANIPORTS,NSE,Transportation
Adani Power Limited,ADANIPOWER,NSE,Utilities
Adarsh Plant Protect Ltd.,ADARSHPL,BSE,Producer manufacturing
ADC India Communications Limited,ADCINDIA,BSE,Electronic technology
Adcon Capital Services Ltd.,ADCON,BSE,Finance
Adcounty Media India Limited,ADCOUNTY,BSE,Commercial services
Addi Industries Limited,ADDIND,BSE,Process industries
Adeshwar Meditex Ltd.,ADESHWAR,BSE,Health technology
ADF Foods Limited,ADFFOODS,NSE,Consumer non-durables
Adhbhut Infrastructure Ltd.,ADHBHUTIN,BSE,Consumer durables
Adhata Global Limited,ADHHATA,BSE,Distribution services
Adinath Textiles Ltd.,ADINATH,BSE,Process industries
Aditya Ispat Limited,ADITYA,BSE,Non-energy minerals
Aditya Spinners Ltd.,ADITYASP,BSE,Process industries
Adjia Technologies Ltd.,ADJIA,BSE,Technology services
Archidply Decor Ltd,ADL,NSE,Commercial services
Ad-Manum Finance Ltd.,ADMANUM,BSE,Finance
Ador Welding Limited,ADOR,NSE,Producer manufacturing
Ador Multiproducts Ltd.,ADORMUL,BSE,Consumer non-durables
Adroit Infotech Limited,ADROITINFO,NSE,Commercial services
Allied Digital Services Limited,ADSL,NSE,Technology services
Adtech Systems Ltd.,ADTECH,BSE,Electronic technology
Advait Energy Transitions Ltd,ADVAIT,BSE,Producer manufacturing
Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR,NSE,Consumer services
Advanced Enzyme Technologies Ltd,ADVENZYMES,NSE,Consumer non-durables
Advik Capital Ltd,ADVIKCA,BSE,Finance
MPS PHARMAA LIMITED,ADVIKLA,BSE,Health technology
Advance Lifestyles Ltd.,ADVLIFE,BSE,Producer manufacturing
Advance Petrochemicals Ltd.,ADVPETR_B,BSE,Process industries
Aegis Logistics Limited,AEGISLOG,NSE,Distribution services
Aegis Vopak Terminals Limited,AEGISVOPAK,NSE,Transportation
Artificial Electronics Intelligent Material Limited,AEIM,BSE,Commercial services
Amba Enterprises Ltd,AEL,BSE,Producer manufacturing
Aeonx Digital Technology Limited,AEONXDIGI,BSE,Process industries
Artemis Electricals & Projects Limited,AEPL,BSE,Producer manufacturing
Aeroflex Enterprises Ltd,AEROENTER,NSE,Producer manufacturing
Aeroflex Industries Ltd.,AEROFLEX,NSE,Producer manufacturing
Aeron Composite Limited,AERON,NSE,Producer manufacturing
Aeroflex Neu Limited,AERONEU,NSE,Process industries
Aerpace Industries Ltd,AERPACE,BSE,Distribution services
Aesthetik Engineers Limited,AESTHETIK,NSE,Consumer durables
Aether Industries Ltd.,AETHER,NSE,Process industries
Afcom Holdings Limited,AFCOM,BSE,Transportation
Afcons Infrastructure Limited,AFCONS,NSE,Industrial services
AF Enterprises Limited,AFEL,BSE,Producer manufacturing
Affle 3i Limited,AFFLE,NSE,Technology services
Affordable Robotic & Automation Ltd.,AFFORDABLE,NSE,Producer manufacturing
Akme Fintrade (India) Limited,AFIL,NSE,Technology services
Abans Financial Services Ltd,AFSL,NSE,Finance
Agarwal Industrial Corporation Limited,AGARIND,NSE,Process industries
Agarwal Fortune India Limited,AGARWAL,BSE,Finance
Dr. Agarwal's Health Care Ltd.,AGARWALEYE,NSE,Health services
Agarwal Float Glass India Limited,AGARWALFT,NSE,Distribution services
Agarwal Toughened Glass India Limited,AGARWALTUF,NSE,Process industries
AGI Greenpac Limited,AGI,NSE,Process industries
Agi Infra Ltd.,AGIIL,NSE,Finance
Agio Paper & Industries Limited,AGIOPAPER,BSE,Process industries
Agni Green Power Ltd.,AGNI,NSE,Utilities
Ashapuri Gold Ornament Ltd,AGOL,BSE,Consumer durables
Agribio Spirits Ltd.,AGRIBIO,BSE,Distribution services
Agri-Tech (India) Ltd.,AGRITECH,NSE,Process industries
Agro Phos India Ltd.,AGROPHOS,NSE,Process industries
AGS Transact Technologies Ltd.,AGSTRA,NSE,Commercial services
A G Universal Limited,AGUL,NSE,Non-energy minerals
AG Ventures Limited,AGVENTURES,BSE,Process industries
Ahasolar Technologies Limited,AHASOLAR,BSE,Technology services
Anlon Healthcare Limited,AHCL,NSE,Health technology
Ahlada Engineers Limited,AHLADA,NSE,Producer manufacturing
Asian Hotels (East) Limited,AHLEAST,NSE,Consumer services
Ahluwalia Contracts (India) Limited,AHLUCONT,NSE,Industrial services
Ahmedabad Steelcraft Limited,AHMDSTE,BSE,Producer manufacturing
AIA Engineering Limited,AIAENG,NSE,Producer manufacturing
A.I. Champdany Industries Ltd.,AICHAMP,BSE,Process industries
Ambassador Intra Holdings Ltd.,AIHL,BSE,Distribution services
Authum Investment & Infrastucture Ltd,AIIL,NSE,Finance
AIK Pipes and Polymers Limited,AIKPIPES,BSE,Producer manufacturing
Abhishek Integrations Ltd.,AILIMITED,NSE,Transportation
AIMCO Pesticides Limited,AIMCOPEST,BSE,Process industries
Alliance Integrated Metaliks Limited,AIML,BSE,Non-energy minerals
Aimtron Electronics Limited,AIMTRON,NSE,Electronic technology
Airan Ltd.,AIRAN,NSE,Technology services
Airfloa Rail Technology Limited,AIRFLOA,BSE,Producer manufacturing
Avishkar Infra Realty Ltd,AIRLTD,BSE,Consumer durables
Airo Lam Ltd.,AIROLAM,NSE,Non-energy minerals
ANI Integrated Services Ltd.,AISL,NSE,Commercial services
Ajanta Pharma Limited,AJANTPHARM,NSE,Health technology
Ajanta Soya Ltd.,AJANTSOY,BSE,Consumer non-durables
Ajax Engineering Ltd.,AJAXENGG,NSE,Producer manufacturing
AJC Jewel Manufacturers Ltd.,AJCJEWEL,BSE,Consumer durables
Ajcon Global Services Ltd,AJCON,BSE,Finance
Ajmera Realty & Infra India Ltd,AJMERA,NSE,Finance
Ajooni Biotech Limited,AJOONI,NSE,Miscellaneous
Ajwa Fun World & Resort Ltd.,AJWAFUN,BSE,Consumer services
Akanksha Power And Infrastructure Limited,AKANKSHA,NSE,Producer manufacturing
Akash Infra-Projects Ltd.,AKASH,NSE,Industrial services
A. K. Capital Services Ltd.,AKCAPIT,BSE,Finance
AKG Exim Ltd.,AKG,NSE,Distribution services
Aki India Limited,AKI,NSE,Process industries
Akiko Global Services Ltd.,AKIKO,NSE,Finance
Akshar Spintex Ltd.,AKSHAR,NSE,Process industries
AksharChem India Ltd.,AKSHARCHEM,NSE,Process industries
Aksh Optifibre Limited,AKSHOPTFBR,NSE,Electronic technology
Akums Drugs and Pharmaceuticals Limited,AKUMS,NSE,Health technology
Akzo Nobel India Limited,AKZOINDIA,NSE,Process industries
Alankit Limited,ALANKIT,NSE,Technology services
Alan Scott Enterprises Ltd.,ALANSCOTT,BSE,Retail trade
Albert David Ltd,ALBERTDAVD,NSE,Health technology
Alchemist Corporation Limited,ALCHCORP,BSE,Distribution services
Alembic Limited,ALEMBICLTD,NSE,Health technology
Alexander Stamps & Coin Ltd.,ALEXANDER,BSE,Finance
Alfa Ica (India) Limited,ALFAICA,BSE,Producer manufacturing
ALFA Transformers Limited,ALFATRAN,BSE,Producer manufacturing
Alfavision Overseas (India) Limited,ALFAVIO,BSE,Health technology
Abhinav Leasing and Finance Ltd,ALFL,BSE,Finance
Alfred Herbert (India) Ltd.,ALFREDHE,BSE,Producer manufacturing
Algoquant Fintech Limited,ALGOQUANT,BSE,Finance
Alicon Castalloy Limited,ALICON,NSE,Producer manufacturing
Alivus Life Sciences Ltd,ALIVUS,NSE,Health technology
Alkali Metals Ltd.,ALKALI,NSE,Process industries
Alkem Laboratories Ltd.,ALKEM,NSE,Health technology
Alkosign Ltd.,ALKOSIGN,BSE,Producer manufacturing
Alkyl Amines Chemicals Limited,ALKYLAMINE,NSE,Process industries
Allcargo Logistics Limited,ALLCARGO,NSE,Transportation
Alldigi Tech Ltd,ALLDIGI,NSE,Commercial services
All E Technologies Limited,ALLETEC,NSE,Technology services
